datetime,location,0.00,0.00,-1402575440,0.00,0.00,0.00,0.00
2024-01-01 01:00:00,Location 1,172.54,8.72,991,44.99,168.49,3.03,126.06
2024-01-01 02:00:00,Location 1,80.59,3.63,196,63.09,83.40,1.73,115.09
2024-01-01 03:00:00,Location 1,29.54,2.23,314,22.39,26.43,2.74,156.60
2024-01-01 04:00:00,Location 1,141.74,10.87,395,28.50,144.48,0.84,60.00
2024-01-01 05:00:00,Location 1,131.53,4.45,903,48.12,127.60,3.61,40.51
2024-01-01 06:00:00,Location 1,378.45,0.41,48,83.95,381.49,3.66,245.55
2024-01-01 07:00:00,Location 1,291.79,8.44,45,23.95,296.29,1.88,198.87
2024-01-01 08:00:00,Location 1,69.38,1.74,480,61.14,72.92,1.36,26.20
2024-01-01 09:00:00,Location 1,397.91,9.48,795,75.16,400.31,1.66,40.67
2024-01-01 10:00:00,Location 1,296.41,9.84,494,38.23,294.10,0.77,187.99
2024-01-01 11:00:00,Location 1,308.11,9.79,495,88.00,305.79,2.32,163.04
2024-01-01 12:00:00,Location 1,76.29,6.11,374,85.13,72.17,0.85,20.24
2024-01-01 13:00:00,Location 1,340.83,2.76,909,4.25,345.75,0.40,177.29
2024-01-01 14:00:00,Location 1,185.16,0.49,955,47.29,186.31,3.32,212.54
2024-01-01 15:00:00,Location 1,285.69,1.89,331,65.36,289.48,3.93,201.96
2024-01-01 16:00:00,Location 1,359.49,7.93,345,60.98,359.53,2.30,120.88
2024-01-01 17:00:00,Location 1,49.69,4.77,955,37.09,53.71,2.72,204.15
2024-01-01 18:00:00,Location 1,45.73,2.16,169,26.23,48.05,3.02,237.93
2024-01-01 19:00:00,Location 1,383.88,10.21,355,66.02,383.58,2.23,143.19
2024-01-01 20:00:00,Location 1,31.71,8.47,115,4.23,30.09,1.38,213.53
2024-01-01 21:00:00,Location 1,277.85,0.72,812,24.57,280.57,2.00,137.99
2024-01-01 22:00:00,Location 1,67.42,6.25,672,73.29,66.00,0.18,1.97
2024-01-01 23:00:00,Location 1,7.76,2.27,1001,72.31,8.77,1.86,38.53
2024-01-02 00:00:00,Location 1,259.72,5.83,539,0.36,258.63,1.01,42.65
2024-01-02 01:00:00,Location 1,83.00,8.97,337,18.01,80.00,2.66,204.13
2024-01-02 02:00:00,Location 1,20.11,1.34,605,82.70,22.85,0.48,195.90
2024-01-02 03:00:00,Location 1,240.83,9.84,1006,66.38,238.35,3.93,212.95
2024-01-02 04:00:00,Location 1,243.44,0.62,38,2.52,240.34,2.32,53.59
2024-01-02 05:00:00,Location 1,254.04,6.11,120,51.20,251.87,0.72,138.90
2024-01-02 06:00:00,Location 1,355.25,1.41,343,80.77,351.62,0.97,201.12
2024-01-02 07:00:00,Location 1,177.98,9.42,781,15.88,180.89,0.11,196.55
2024-01-02 08:00:00,Location 1,167.97,9.86,491,92.21,168.54,3.98,167.81
2024-01-02 09:00:00,Location 1,255.86,6.78,952,4.01,256.01,3.98,26.09
2024-01-02 10:00:00,Location 1,354.43,7.70,599,89.98,357.18,1.59,26.28
2024-01-02 11:00:00,Location 1,193.35,4.57,377,88.40,196.90,1.38,100.70
2024-01-02 12:00:00,Location 1,220.18,10.21,878,32.38,215.60,0.05,4.23
2024-01-02 13:00:00,Location 1,299.39,6.17,758,50.42,294.50,1.56,9.16
2024-01-02 14:00:00,Location 1,149.90,7.96,356,78.94,146.20,0.41,130.27
2024-01-02 15:00:00,Location 1,46.30,5.00,792,79.53,47.34,0.65,179.35
2024-01-02 16:00:00,Location 1,96.88,10.84,1020,74.42,93.44,2.81,210.41
2024-01-02 17:00:00,Location 1,14.65,9.52,199,75.31,17.02,3.18,235.89
2024-01-02 18:00:00,Location 1,42.69,2.01,261,57.00,43.80,0.61,40.80
2024-01-02 19:00:00,Location 1,30.36,10.51,708,22.51,34.72,1.44,253.23
2024-01-02 20:00:00,Location 1,210.73,6.81,647,73.44,211.45,1.33,69.50
2024-01-02 21:00:00,Location 1,154.93,9.64,6,80.33,152.40,2.34,48.32
2024-01-02 22:00:00,Location 1,48.47,3.06,459,99.39,52.36,1.18,171.41
2024-01-02 23:00:00,Location 1,227.89,1.67,988,11.77,231.64,3.84,68.54
2024-01-03 00:00:00,Location 1,388.59,9.24,743,24.90,389.97,1.84,175.34
2024-01-03 01:00:00,Location 1,343.84,0.35,226,65.75,341.00,3.74,101.29
2024-01-03 02:00:00,Location 1,135.20,0.68,851,48.81,138.59,0.61,18.03
2024-01-03 03:00:00,Location 1,133.35,10.47,165,52.25,130.76,0.29,210.51
